DATE,TOTAL_ACTIVE_USERS,SWAP_TXNS,MINT_LIQUIDITY_TXNS,BURN_LIQUIDITY_TXNS,INCREASE_LIQUIDITY_TXNS,DECREASE_LIQUIDITY_TXNS,TOTAL_ACTIVE_POOLS,TOTAL_TXN_FEE_ETH,AVG_TXN_FEE_ETH,TOTAL_TXN_FEE_USD,AVG_TXN_FEE_USD,VOLUME_USD,PROTOCOL_FEES_USD
2023-06-08 00:00:00.000,58453,166227,19,3,2353,1371,2039,40.019298858,0.0001556311254,73788.476588041,0.2869561433,137956640,115886
2023-06-09 00:00:00.000,61396,175426,23,2,2649,1649,1937,35.603361539,0.0001341144443,65587.322455286,0.2470611461,119323924,96734
2023-06-10 00:00:00.000,59235,291722,19,7,4896,4203,2182,102.705227842,0.0002228231973,184416.49479369,0.4000991367,384260891,323972
2023-06-11 00:00:00.000,63854,201700,22,7,2578,1744,1947,34.735039539,0.0001124693678,60901.649431083,0.197194824,132927394,102727
2023-06-12 00:00:00.000,69676,237284,9,7,3097,2090,2020,44.741447854,0.0001194404789,77916.905709262,0.2080047244,175429317,152137
2023-06-13 00:00:00.000,63242,222068,7,1,2671,1902,1891,37.576003471,0.0001152309417,65544.839793054,0.2010004502,193669519,155858
2023-06-14 00:00:00.000,62729,202361,13,2,3033,2342,1975,61.200847133,0.0002131735499,105997.541778924,0.3692084884,230818276,167224
2023-06-15 00:00:00.000,59623,195201,25,1,3611,2881,1987,44.259794827,0.000154234122,72858.468429765,0.2538932219,193502118,143721
2023-06-16 00:00:00.000,66236,192069,7,1,3317,2488,1933,41.608121113,0.0001436506419,69632.011040303,0.2404021814,174357187,134293
2023-06-17 00:00:00.000,55578,157733,10,3,2374,1618,1885,37.684526383,0.0001632035962,65138.769887648,0.2821020328,141429005,105843
2023-06-18 00:00:00.000,52073,154546,13,0,1898,1308,1817,28.71072664,0.0001274050439,49749.100468212,0.220763703,105633852,84549
2023-06-19 00:00:00.000,59085,168485,11,2,2262,1605,1866,32.64193254,0.0001342560113,56282.091216836,0.2314877976,156812629,111282
2023-06-20 00:00:00.000,63242,217853,11,0,3663,2806,2014,43.945518881,0.0001335904659,76516.547672613,0.2326034943,233430834,184409
2023-06-21 00:00:00.000,64156,264680,17,3,5112,4149,2132,58.668623665,0.0001508877398,107517.239221101,0.2765197512,445356351,313531
2023-06-22 00:00:00.000,64891,232215,12,1,3619,2727,2056,43.385001738,0.0001315542159,82329.631065985,0.2496441079,274158160,207696
2023-06-23 00:00:00.000,58905,217304,6,2,3121,2264,2096,41.892090701,0.0001346718103,78975.198607175,0.2538840337,311327398,212978
2023-06-24 00:00:00.000,51459,168450,9,3,2148,1456,1989,27.802861529,0.0001158940284,52517.087387603,0.2189133235,151466136,115877
2023-06-25 00:00:00.000,57820,212790,12,0,2584,1689,2076,31.415978257,0.000101843857,59718.026278607,0.1935930207,220719866,168834
2023-06-26 00:00:00.000,67445,255521,9,3,3154,2289,2053,46.068188623,0.0001227215271,86639.364477958,0.2307995047,320799601,233715
2023-06-27 00:00:00.000,75404,250557,16,0,3598,2566,2103,44.329702587,0.0001265315691,83286.259190886,0.2377264102,294960472,230974
2023-06-28 00:00:00.000,65858,225769,12,3,4055,3137,2087,52.468588975,0.0001647230963,97464.726549607,0.3059867218,253739000,187806
